epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4735,1.55874,5.72883,1.98453,0.03333,1,0.22124,0.15613,0.59471,3.15985,1.12601,0,0,0
2,6.4817,1.56326,4.17672,1.96084,0.03323,1,0.22976,0.15701,0.59517,3.15651,1.12959,1.37241e-05,1.37241e-05,1.37241e-05
3,9.23186,2.14248,5.48299,2.26269,0.03293,1,0.24088,0.16977,0.58617,3.16153,1.11881,2.63165e-05,2.63165e-05,2.63165e-05
4,12.0023,2.02168,4.91701,2.29549,0.03364,1,0.26067,0.16986,0.5743,3.1643,1.11129,3.7777e-05,3.7777e-05,3.7777e-05
5,14.8333,1.20942,4.86748,1.71965,0.03416,1,0.28763,0.19001,0.56354,3.16832,1.11006,4.81059e-05,4.81059e-05,4.81059e-05
6,17.8122,1.06859,4.0847,1.69359,0.03459,1,0.30383,0.19663,0.56945,3.17084,1.11109,5.73029e-05,5.73029e-05,5.73029e-05
7,20.5999,1.35362,5.67924,1.66796,0.0363,1,0.34602,0.20051,0.59177,3.17068,1.11443,6.53682e-05,6.53682e-05,6.53682e-05
8,23.3295,1.55966,4.66611,2.10637,0.03887,1,0.32134,0.17053,0.60537,3.17224,1.11887,7.23017e-05,7.23017e-05,7.23017e-05
9,26.1708,1.59956,3.75469,1.98249,0.04348,1,0.34543,0.16977,0.6056,3.17912,1.11171,7.81034e-05,7.81034e-05,7.81034e-05
10,28.9007,0.82811,4.7883,1.56425,0.04955,1,0.3008,0.15961,0.62044,3.17672,1.11836,8.27734e-05,8.27734e-05,8.27734e-05
11,31.5811,0.85195,4.79597,1.43649,0.05556,1,0.3225,0.1716,0.60943,3.17895,1.11579,8.63116e-05,8.63116e-05,8.63116e-05
12,34.217,0.88815,6.83524,1.46082,0.06111,1,0.27142,0.14458,0.61446,3.18457,1.10828,8.8718e-05,8.8718e-05,8.8718e-05
13,37.1422,1.57664,4.84371,1.86237,0.07051,1,0.27003,0.14922,0.59699,3.18821,1.10891,8.99927e-05,8.99927e-05,8.99927e-05
14,40.0276,1.17488,4.28632,1.54308,0.08661,1,0.27063,0.14607,0.59316,3.18413,1.13102,9.01356e-05,9.01356e-05,9.01356e-05
15,42.7207,0.94841,4.49981,1.60213,0.09821,1,0.28749,0.16032,0.60294,3.18935,1.14864,8.91467e-05,8.91467e-05,8.91467e-05
16,45.531,1.04636,5.85566,2.06978,0.10784,1,0.31255,0.16387,0.64986,3.19091,1.14358,8.70261e-05,8.70261e-05,8.70261e-05
17,48.2699,0.90037,5.87972,1.57352,0.11957,1,0.29807,0.16437,0.64299,3.19119,1.14877,8.37737e-05,8.37737e-05,8.37737e-05
18,51.2219,0.89549,5.65941,1.43828,0.11957,1,0.29807,0.16437,0.64299,3.19119,1.14877,7.93895e-05,7.93895e-05,7.93895e-05
19,53.9928,0.52634,6.11118,1.40132,0.12088,1,0.27468,0.16039,0.64277,3.19118,1.16225,7.38736e-05,7.38736e-05,7.38736e-05
20,56.6382,0.86721,5.99705,1.68902,0.12088,1,0.27468,0.16039,0.64277,3.19118,1.16225,6.72259e-05,6.72259e-05,6.72259e-05
21,59.3751,1.12227,6.17377,1.45295,0.125,1,0.27376,0.16196,0.62132,3.18695,1.14963,5.94464e-05,5.94464e-05,5.94464e-05
22,62.0658,1.24834,5.9953,1.96499,0.125,1,0.27376,0.16196,0.62132,3.18695,1.14963,5.05352e-05,5.05352e-05,5.05352e-05
23,64.9402,0.8861,6.51991,1.60147,0.13415,1,0.28301,0.16135,0.58831,3.1901,1.15349,4.04921e-05,4.04921e-05,4.04921e-05
24,67.616,0.87752,5.72081,1.68915,0.13415,1,0.28301,0.16135,0.58831,3.1901,1.15349,2.93174e-05,2.93174e-05,2.93174e-05
25,70.3126,0.75959,5.66811,1.45917,0.13415,1,0.27079,0.14477,0.61949,3.18294,1.15533,1.70108e-05,1.70108e-05,1.70108e-05
